"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"Database by themes"	"data"	"folder"	" "	" "	" "	" "	
"    General and regional statistics"	"general"	"folder"	" "	" "	" "	" "	
"        European and national indicators for short-term analysis"	"euroind"	"folder"	" "	" "	" "	" "	
"            Balance of payments"	"ei_bp"	"folder"	" "	" "	" "	" "	
"                Current account - quarterly data"	"ei_bpm6ca_q"	"dataset"	"24.04.2023"	"24.04.2023"	"1992Q1"	"2022Q4"	
"                Financial account - quarterly data"	"ei_bpm6fa_q"	"dataset"	"24.04.2023"	"24.04.2023"	"1992Q1"	"2022Q4"	
"                Current account - monthly data"	"ei_bpm6ca_m"	"dataset"	"19.04.2023"	"19.04.2023"	"1991M01"	"2023M02"	
"                Financial account - monthly data"	"ei_bpm6fa_m"	"dataset"	"19.04.2023"	"19.04.2023"	"1991M01"	"2023M02"	
"                International investment position - quarterly data"	"ei_bpm6iip_q"	"dataset"	"25.04.2023"	"25.04.2023"	"1992Q4"	"2022Q4"	
"            Business and consumer surveys (source: DG ECFIN)"	"ei_bcs"	"folder"	" "	" "	" "	" "	
"                Consumer surveys (source: DG ECFIN)"	"ei_bcs_cs"	"folder"	" "	" "	" "	" "	
"                    Consumers - monthly data"	"ei_bsco_m"	"dataset"	"30.03.2023"	"30.03.2023"	"1980M01"	"2023M03"	
"                    Consumers - quarterly data"	"ei_bsco_q"	"dataset"	"30.03.2023"	"30.01.2023"	"1990Q1"	"2023Q1"	
"                Business surveys - NACE Rev. 2 activity (source: DG ECFIN)"	"ei_bcs_bs"	"folder"	" "	" "	" "	" "	
"                    Industry - monthly data"	"ei_bsin_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1980M01"	"2023M03"	
"                    Industry - quarterly data"	"ei_bsin_q_r2"	"dataset"	"30.03.2023"	"30.01.2023"	"1980Q1"	"2023Q1"	
"                    Construction - monthly data"	"ei_bsbu_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1980M01"	"2023M03"	
"                    Construction - quarterly data"	"ei_bsbu_q_r2"	"dataset"	"30.03.2023"	"30.01.2023"	"1981Q1"	"2023Q1"	
"                    Retail sale - monthly data"	"ei_bsrt_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1984M01"	"2023M03"	
